学校,专业类,预测2024年总分
燕山大学里仁学院,物理类(必须选考),466.0
燕山大学里仁学院,物理类类,461.0
珠海科技学院,不限,490.0
珠海科技学院,物理类,493.8181818181838
甘肃政法大学,不限,534.3333333333358
甘肃政法大学,不限选考科目,492.0
甘肃政法大学,物理类,493.6666666666679
甘肃政法大学,物理类/生物(选考一门即可),476.0
电子科技大学,物理类,647.0
电子科技大学,物理类(必须选考),640.0
电子科技大学,物理类类,644.0
电子科技大学(沙河校区),物理类,640.3076923076924
电子科技大学(沙河校区),物理类(必须选考),636.0
电子科技大学(沙河校区),物理类(必须选考)(中外合作办学专业),633.0
电子科技大学(沙河校区),物理类类,654.0
电子科技大学(沙河校区)(中外合作专业),物理类类,639.0
电子科技大学成都学院,不限,491.66666666666424
电子科技大学成都学院,不限选考科目,461.0
电子科技大学成都学院,历史类类,480.0
电子科技大学成都学院,物理类,489.0
电子科技大学成都学院,物理类(必须选考),438.0
电子科技大学成都学院,物理类类,430.0
盐城师范学院,不限,493.3333333333321
盐城师范学院,不限选考科目,469.0
盐城师范学院,历史类类,493.0
石家庄铁道大学,不限,540.6666666666642
石家庄铁道大学,不限选考科目,512.0
石家庄铁道大学,物理类,547.0
石家庄铁道大学,物理类(必须选考),533.0
石家庄铁道大学,物理类类,512.0
石家庄铁道大学四方学院,不限,515.6666666666642
石家庄铁道大学四方学院,不限选考科目,472.0
石家庄铁道大学四方学院,历史类类,484.0
石家庄铁道大学四方学院,物理类,489.0
石家庄铁道大学四方学院,物理类(必须选考),458.0
石家庄铁道大学四方学院,物理类类,453.0
石河子大学,不限,522.6666666666679
石河子大学,物理类,539.8333333333358
石河子大学,物理类(必须选考),484.0
石河子大学,物理类/生物(选考一门即可),497.0
石河子大学,物理类类,472.0
福州大学,不限,578.0
福州大学,不限选考科目,587.0
福州大学,物理类,608.0
福州大学,物理类(必须选考),578.0
福州大学,物理类类,601.0
福建中医药大学,历史类类,518.0
福建中医药大学,物理类,567.3333333333321
福建中医药大学,物理类/生物(选考一门即可),542.0
福建农林大学,物理类,518.0
福建农林大学,物理类/生物(选考一门即可),492.0
福建农林大学,物理类类,457.0
福建医科大学,物理类,584.5
福建医科大学,物理类(均须选考),589.0
福建医科大学,物理类(选考一门即可),548.0
福建医科大学,物理类类,578.0
福建工程学院,物理类,497.0
福建工程学院,物理类(必须选考),469.0
福建工程学院,物理类类,463.0
福建理工大学,物理类,492.0
苏州大学,不限,616.3333333333335
苏州大学,不限选考科目,620.0
苏州大学,化学,641.3333333333321
苏州大学,化学(必须选考),611.0
苏州大学,化学+生物(均须选考),625.0
苏州大学,历史类类,532.9999999999964
苏州大学,物理类,629.3333333333339
苏州大学,物理类(必须选考),616.0
苏州大学,物理类类,614.0
苏州科技大学,不限,519.0
苏州科技大学,物理类,525.0
苏州科技大学,物理类(必须选考),507.0
苏州科技大学,物理类类,503.0
衡水学院,不限,509.66666666666424
衡水学院,不限选考科目,484.0
衡水学院,历史类类,503.0
衡阳师范学院,不限,515.6666666666642
衡阳师范学院,不限选考科目,472.0
衡阳师范学院,历史类,548.6666666666642
衡阳师范学院,历史类类,524.0
衡阳师范学院,政治/历史类/地理(选考一门即可),479.0
衡阳师范学院,物理类,591.0
衡阳师范学院,物理类(必须选考),471.0
衡阳师范学院,物理类/地理(选考一门即可),492.0
衡阳师范学院,物理类类,470.0
西交利物浦大学,不限,609.6666666666642
西交利物浦大学,不限选考科目(中外合作办学专业),577.0
西交利物浦大学,历史类类,519.0
西交利物浦大学,物理类,602.0
西交利物浦大学,物理类(必须选考)(中外合作办学专业),580.0
西交利物浦大学,物理类(选考一门即可)(中外合作办学专业),580.0
西交利物浦大学,物理类/历史类/地理(选考一门即可)(中外合作办学专业),598.0
西交利物浦大学,物理类/生物(选考一门即可)(中外合作办学专业),578.0
西交利物浦大学,物理类类,619.0
西交利物浦大学,物理类／历史类,603.0
西北农林科技大学,不限,612.6666666666679
西北农林科技大学,不限选考科目,580.0
西北农林科技大学,历史类类,527.9999999999982
西北农林科技大学,物理类,609.6666666666679
西北农林科技大学,物理类/生物(选考一门即可),585.0
西北农林科技大学,物理类类,604.0
西北大学,历史类,625.3333333333333
西北大学,历史类/地理(选考一门即可),618.0
西北大学,历史类类,526.9999999999964
西北大学,物理类/政治/历史类(选考一门即可),598.0
西北大学,物理类类,588.0
西北大学,物理类／历史类,606.0
西北工业大学,不限,631.0
西北工业大学,不限选考科目,625.0
西北工业大学,历史类类,541.0
西北工业大学,物理类,643.8888888888905
西北工业大学,物理类(必须选考),634.0
西北工业大学,物理类(必须选考)(中外合作办学专业),607.0
西北工业大学,物理类/生物(选考一门即可),627.0
西北工业大学,物理类类,645.0
西北工业大学(中外合作专业),物理类类,615.9999999999998
西北师范大学,不限,508.3333333333321
西北师范大学,不限选考科目,545.0
西北师范大学,历史类,560.0
西北师范大学,历史类(必须选考),545.0
西北师范大学,历史类类,543.0
西北师范大学,物理类,518.0
西北师范大学,物理类(必须选考),536.0
西北师范大学,物理类/地理(选考一门即可),563.0
西北师范大学,物理类类,520.0
西北政法大学,不限,625.3333333333339
西北政法大学,不限选考科目,594.0
西北政法大学,历史类类,567.0
西北民族大学,不限,543.0
西北民族大学,不限选考科目,487.0
西北民族大学,化学,514.6666666666642
西北民族大学,化学(必须选考),472.0
西北民族大学,历史类,548.3333333333358
西北民族大学,历史类(必须选考),493.0
西北民族大学,历史类类,505.0
西北民族大学,物理类类,465.0
西华大学,不限,486.0
西华大学,不限选考科目,491.0
西华大学,历史类类,505.0
西华大学,物理类类,482.0
西华大学,物理类／历史类,527.6666666666642
西华师范大学,不限,501.0
西华师范大学,物理类,462.0
西华师范大学,物理类(必须选考),474.0
西华师范大学,物理类类,460.0
西南交通大学,不限,600.0
西南交通大学,不限选考科目,600.0
西南交通大学,历史类,601.0
西南交通大学,历史类类,572.0
西南交通大学,政治/历史类/地理(选考一门即可),603.0
西南交通大学,物理类,594.7999999999984
西南交通大学,物理类(必须选考),598.0
西南交通大学,物理类(必须选考)(中外合作办学专业),596.0
西南交通大学,物理类(选考一门即可),612.0
西南交通大学,物理类类,612.0
西南交通大学(中外合作专业),物理类类,598.9999999999995
西南医科大学,化学+生物(均须选考),547.0
西南医科大学,物理类,571.3333333333321
西南医科大学,物理类类,506.0
西南大学,化学/历史类/地理(选考一门即可),593.0
西南大学,化学／历史类,609.3333333333339
西南大学,历史类,619.6666666666661
西南大学,历史类类,534.0
西南大学,政治/历史类(选考一门即可),595.0
西南大学,政治/历史类/地理(选考一门即可),599.0
西南大学,物理类,590.833333333333
西南大学,物理类(必须选考),585.0
西南大学,物理类/生物(选考一门即可),603.0
西南大学,物理类类,593.0
西南政法大学,不限,628.0
西南政法大学,不限选考科目,613.0
西南政法大学,历史类类,529.9999999999964
西南政法大学,物理类类,672.0
西南林业大学,历史类,514.3333333333358
西南林业大学,历史类类,500.0
西南林业大学,政治/历史类/地理(选考一门即可),474.0
西南民族大学,不限,538.3333333333321
西南民族大学,不限选考科目,515.0
西南民族大学,历史类类,528.0
西南民族大学,物理类,528.0
西南民族大学,物理类(必须选考),499.0
西南民族大学,物理类类,491.0
西南石油大学,不限,576.0
西南石油大学,物理类,599.0714285714348
西南石油大学,物理类(必须选考),546.0
西南石油大学,物理类(选考一门即可),565.0
西南石油大学,物理类类,525.0
西南科技大学,不限,510.66666666666424
西南科技大学,不限选考科目,480.0
西南科技大学,历史类类,501.0
西南科技大学,物理类,524.1666666666642
西南科技大学,物理类(必须选考),486.0
西南科技大学,物理类/生物(选考一门即可),479.0
西南科技大学,物理类类,473.0
西南财经大学,不限,621.333333333333
西南财经大学,不限选考科目,623.0
西南财经大学,不限选考科目(中外合作办学专业),617.0
西南财经大学,历史类类,565.0
西南财经大学,物理类,619.9285714285716
西南财经大学,物理类(必须选考),623.0
西南财经大学,物理类类,632.0
西南财经大学(中外合作专业),历史类类,628.0
西南财经大学(中外合作专业),物理类类,618.9999999999995
西南财经大学天府学院,不限,484.66666666666424
西南财经大学天府学院,不限选考科目,461.0
西南财经大学天府学院,历史类类,480.0
西南财经大学天府学院,物理类类,449.0
西安交通大学,历史类,643.75
西安交通大学,历史类/地理(选考一门即可),636.0
西安交通大学,历史类类,530.0
西安交通大学,政治/历史类(选考一门即可),638.0
西安交通大学,物理类,636.0
西安交通大学,物理类(必须选考),641.0
西安交通大学,物理类类,640.9999999999998
西安交通大学城市学院,不限,489.33333333333576
西安交通大学城市学院,不限选考科目,446.0
西安交通大学城市学院,物理类(必须选考),448.0
西安交通大学城市学院,物理类类,431.0
西安体育学院,不限,504.0
西安体育学院,不限选考科目,474.0
西安体育学院,历史类类,509.0
西安培华学院,不限,490.66666666666424
西安培华学院,不限选考科目,448.0
西安培华学院,历史类类,480.0
西安培华学院,物理类,472.0
西安培华学院,物理类(必须选考),438.0
西安培华学院,物理类类,428.0
西安培华学院,物理类／历史类,467.0
西安培华学院,生物/政治/地理(选考一门即可),438.0
西安培华学院,生物／思想政治,484.33333333333576
西安外国语大学,不限,523.0
西安外国语大学,不限选考科目,544.0
西安外国语大学,历史类类,564.0
西安外国语大学,物理类类,543.0
西安工业大学,不限,530.6666666666679
西安工业大学,不限选考科目,518.0
西安工业大学,历史类类,518.0
西安工业大学,物理类,577.6666666666642
西安工业大学,物理类(必须选考),526.0
西安工业大学,物理类类,510.0
西安工业大学北方信息工程学院,历史类类,480.0
西安工商学院,不限,475.0
西安工商学院,物理类(必须选考),438.0
西安工程大学,不限,522.6666666666679
西安工程大学,不限选考科目,493.0
西安工程大学,物理类类,473.0
西安建筑科技大学,物理类,562.6666666666679
西安建筑科技大学,物理类(必须选考)(中外合作办学专业),523.0
西安建筑科技大学,物理类/历史类(选考一门即可),593.0
西安建筑科技大学,物理类类,674.0
西安建筑科技大学,物理类／历史类,578.6666666666661
西安建筑科技大学(中外合作专业),物理类类,497.0
西安建筑科技大学华清学院,物理类,473.0
西安建筑科技大学华清学院,物理类(必须选考),444.0
西安建筑科技大学华清学院,物理类类,445.0
西安思源学院,不限,532.0
西安思源学院,历史类类,483.0
西安思源学院,物理类,483.0
西安思源学院,物理类(必须选考),437.0
西安思源学院,物理类类,429.0
西安理工大学,物理类,599.0
西安理工大学,物理类(必须选考),551.0
西安理工大学,物理类类,546.0
西安电子科技大学,不限,603.6666666666679
西安电子科技大学,不限选考科目,568.0
西安电子科技大学,历史类类,517.0
西安电子科技大学,物理类,641.0
西安电子科技大学,物理类(必须选考),624.0
西安电子科技大学,物理类类,639.0
西安石油大学,历史类类,531.0
西安石油大学,物理类,546.3333333333358
西安石油大学,物理类(必须选考),515.0
西安石油大学,物理类/历史类/地理(选考一门即可),508.0
西安石油大学,物理类类,514.0
西安石油大学,物理类／历史类,524.6666666666679
西安科技大学,物理类,532.3333333333321
西安科技大学,物理类(必须选考),519.0
西安科技大学,物理类类,510.0
西安科技大学高新学院,不限,508.3333333333285
西安科技大学高新学院,历史类类,480.0
西安科技大学高新学院,物理类,480.0
西安科技大学高新学院,物理类(必须选考),436.0
西安科技大学高新学院,物理类类,426.0
西安财经大学,不限,530.0
西安财经大学,历史类类,540.0
西安财经大学,物理类(必须选考),508.0
西安财经大学,物理类(选考一门即可),508.0
西安财经大学,物理类类,502.0
西安邮电大学,物理类,593.3333333333358
西安邮电大学,物理类(必须选考),547.0
西安邮电大学,物理类类,540.0
贵州大学,不限,590.6666666666679
贵州大学,不限选考科目,553.0
贵州大学,历史类,608.0
贵州大学,历史类类,560.0
贵州大学,物理类,594.0
贵州大学,物理类(必须选考),558.0
贵州大学,物理类类,568.0
贵州财经大学,不限,522.3333333333358
贵州财经大学,不限选考科目,498.0
贵州财经大学,历史类类,516.0
贵州财经大学,物理类类,496.0
赣东学院,不限,499.66666666666424
赣南科技学院,不限,494.33333333333576
辽宁中医药大学,化学,596.0
辽宁何氏医学院,化学+生物(均须选考),448.0
辽宁何氏医学院,物理类,482.16666666666424
辽宁何氏医学院,物理类/生物(选考一门即可),444.0
辽宁何氏医学院,物理类类,438.0
辽宁大学,不限,590.5
辽宁大学,不限选考科目,583.0
辽宁大学,不限选考科目(中外合作办学专业),558.0
辽宁大学,历史类类,556.0
辽宁大学,物理类,593.6666666666679
辽宁大学,物理类(必须选考),583.0
辽宁大学,物理类类,611.0
辽宁大学(中外合作专业),历史类类,469.0
辽宁对外经贸学院,不限,472.33333333333576
辽宁对外经贸学院,不限选考科目,439.0
辽宁对外经贸学院,历史类类,480.0
辽宁对外经贸学院,物理类类,431.0
辽宁工程技术大学,物理类,511.0
辽宁师范大学,不限,507.0
辽宁师范大学,历史类,491.99999999999955
辽宁师范大学,历史类类,516.0
辽宁师范大学,政治/历史类/地理(选考一门即可),512.0
辽宁师范大学,物理类,541.0
辽宁师范大学,物理类(必须选考),506.0
辽宁师范大学,物理类类,504.0
辽宁石油化工大学,物理类,498.66666666666424
辽宁石油化工大学,物理类(必须选考),473.0
辽宁石油化工大学,物理类(选考一门即可),472.0
辽宁石油化工大学,物理类类,468.0
辽宁科技大学,不限,515.6666666666642
辽宁科技大学,不限选考科目,478.0
辽宁科技大学,物理类,510.66666666666424
辽宁科技大学,物理类(必须选考),479.0
辽宁科技大学,物理类类,469.0
郑州大学,不限,594.6666666666661
郑州大学,不限选考科目,583.0
郑州大学,化学,566.0
郑州大学,化学+生物(均须选考),597.0
郑州大学,化学/生物(选考一门即可),576.0
郑州大学,历史类类,544.0
郑州大学,物理类,610.3333333333321
郑州大学,物理类(必须选考),591.0
郑州大学,物理类类,617.0
郑州工商学院,不限,480.33333333333576
郑州工商学院,不限选考科目,453.0
郑州工商学院,历史类类,480.0
郑州工商学院,物理类,435.0
郑州工商学院,物理类(必须选考),456.0
郑州工商学院,物理类类,449.0
郑州工程技术学院,不限,498.33333333333576
郑州工程技术学院,不限选考科目,476.0
郑州工程技术学院,化学+生物(均须选考),470.0
郑州工程技术学院,历史类类,494.0
郑州工程技术学院,物理类,491.15384615384755
郑州工程技术学院,物理类(均须选考),466.0
郑州工程技术学院,物理类(必须选考),470.0
郑州工程技术学院,物理类/历史类/地理(选考一门即可),469.0
郑州工程技术学院,物理类类,464.0
郑州工程技术学院,物理类／历史类,443.0
郑州航空工业管理学院,不限,491.6666666666679
郑州航空工业管理学院,不限选考科目,470.0
郑州航空工业管理学院,历史类类,498.0
郑州航空工业管理学院,物理类类,465.0
郑州财经学院,不限,495.0
郑州财经学院,物理类,497.0
郑州轻工业大学,不限,502.33333333333576
郑州轻工业大学,不限选考科目,473.0
郑州轻工业大学,历史类类,480.0
郑州轻工业大学,物理类,509.66666666666424
郑州轻工业大学,物理类(必须选考),474.0
郑州轻工业大学,物理类/生物(选考一门即可),474.0
郑州轻工业大学,物理类类,468.0
重庆交通大学,不限,524.0
重庆交通大学,不限选考科目,519.0
重庆交通大学,物理类,524.3333333333321
重庆交通大学,物理类(必须选考),511.0
重庆交通大学,物理类类,512.0
重庆医科大学,化学,573.0
重庆医科大学,化学(必须选考),549.0
重庆医科大学,化学+生物(均须选考),574.0
重庆医科大学,物理类,604.8289473684199
重庆医科大学,物理类(必须选考),544.0
重庆医科大学,物理类/生物(选考一门即可),544.0
重庆医科大学,物理类类,560.0
重庆大学,不限,634.3333333333339
重庆大学,不限选考科目,620.0
重庆大学,历史类类,530.0
重庆大学,物理类,598.823529411764
重庆大学,物理类(必须选考),621.0
重庆大学,物理类(必须选考)(中外合作办学专业),616.0
重庆大学,物理类类,634.0
重庆大学(中外合作专业),物理类类,632.0
重庆大学城市科技学院,历史类类,480.0
重庆大学城市科技学院,物理类(必须选考),441.0
重庆大学城市科技学院,物理类/生物(选考一门即可),441.0
重庆大学城市科技学院,物理类类,423.0
重庆工商大学,不限,522.6666666666661
重庆工商大学,不限选考科目,521.0
重庆工商大学,历史类类,534.0
重庆师范大学,不限,527.0
重庆师范大学,不限选考科目,521.0
重庆师范大学,化学,530.3333333333339
重庆师范大学,化学(必须选考),529.0
重庆师范大学,历史类,582.6666666666642
重庆师范大学,历史类(必须选考),538.0
重庆师范大学,历史类类,543.0
重庆师范大学,物理类类,514.0
重庆理工大学,不限,526.3333333333321
重庆理工大学,不限选考科目,503.0
重庆理工大学,物理类类,498.0
重庆科技学院,物理类,541.6666666666642
重庆科技学院,物理类/地理(选考一门即可),467.0
重庆科技学院,物理类类,510.0
重庆邮电大学,物理类,604.0
重庆邮电大学,物理类(必须选考),570.0
重庆邮电大学,物理类类,563.0
金陵科技学院,不限,496.0
金陵科技学院,不限选考科目,480.0
金陵科技学院,历史类,499.0
金陵科技学院,历史类类,505.0
金陵科技学院,物理类,495.0
金陵科技学院,物理类(必须选考),476.0
金陵科技学院,物理类类,480.0
金陵科技学院,物理类／历史类,480.0
锦州医科大学,化学+生物(均须选考),536.0
锦州医科大学,物理类,518.8571428571431
锦州医科大学,物理类类,516.0
锦州医科大学医疗学院,化学+生物(均须选考),453.0
锦州医科大学医疗学院,物理类,506.66666666666424
锦州医科大学医疗学院,物理类/生物(选考一门即可),471.0
锦州医科大学医疗学院,物理类类,453.0
长安大学,不限,590.0
长安大学,不限选考科目,574.0
长安大学,物理类,596.0
长安大学,物理类(必须选考),572.0
长安大学,物理类类,610.0
长春中医药大学,物理类,537.0
长春人文学院,不限,481.3333333333321
长春大学,不限,517.3333333333358
长春大学,不限选考科目,480.0
长春大学,历史类类,508.0
长春大学,物理类,491.0
长春大学,物理类(必须选考),476.0
长春大学,物理类类,470.0
长春工业大学,物理类,524.0
长春工业大学,物理类(必须选考),478.0
长春工业大学,物理类/政治/历史类(选考一门即可),477.0
长春工业大学,物理类/政治/地理(选考一门即可),474.0
长春工业大学,物理类类,475.0
长春工业大学,物理类／历史类,514.0
长春工业大学,物理类／思想政治,520.0
长春工程学院,不限,443.0
长春工程学院,不限选考科目,471.0
长春工程学院,历史类类,499.0
长春工程学院,物理类,493.1818181818162
长春工程学院,物理类(必须选考),476.0
长春工程学院,物理类(选考一门即可),475.0
长春工程学院,物理类类,466.0
长春师范大学,不限,487.5
长春师范大学,不限选考科目(中外合作办学专业),465.0
长春师范大学,物理类,480.5
长春师范大学,物理类(必须选考)(中外合作办学专业),490.0
长春师范大学(中外合作专业),历史类类,480.0
长春建筑学院,物理类,472.33333333333576
长春建筑学院,物理类(必须选考),452.0
长春建筑学院,物理类/历史类/地理(选考一门即可),458.0
长春建筑学院,物理类类,440.0
长春建筑学院,物理类／历史类,472.33333333333576
长春理工大学,不限,540.6666666666642
长春理工大学,不限选考科目,505.0
长春理工大学,化学,582.0
长春理工大学,物理类,585.0
长春理工大学,物理类(必须选考),506.0
长春理工大学,物理类类,505.0
长春理工大学光电信息学院,物理类(必须选考),439.0
长春理工大学光电信息学院,物理类类,443.0
长春电子科技学院,物理类,472.33333333333576
长春科技学院,物理类,508.6666666666715
长春科技学院,物理类/生物(选考一门即可),442.0
长春科技学院,物理类类,432.0
长春财经学院,不限,487.33333333333576
长春财经学院,不限选考科目,451.0
长春财经学院,历史类类,480.0
长江大学,不限,550.3333333333358
长江大学,不限选考科目,489.0
长江大学,历史类类,526.0
长江大学,物理类,546.6666666666642
长江大学,物理类/地理(选考一门即可),498.0
长江大学,物理类/生物(选考一门即可),481.0
长江大学,物理类类,486.0
长沙医学院,化学+生物(均须选考),460.0
长沙医学院,历史类类,481.0
长沙医学院,物理类,523.0
长沙医学院,物理类/生物(选考一门即可),473.0
长沙医学院,物理类类,451.0
长沙学院,不限,516.0
长沙学院,历史类类,498.0
长沙学院,物理类,504.0
长沙学院,物理类(必须选考),473.0
长沙学院,物理类/政治/历史类(选考一门即可),471.0
长沙学院,物理类类,461.0
长沙理工大学,不限,548.6666666666661
长沙理工大学,不限选考科目,549.0
长沙理工大学,历史类类,576.0
长沙理工大学,物理类,600.5555555555547
长沙理工大学,物理类(必须选考),557.0
长沙理工大学,物理类(必须选考)(中外合作办学专业),513.0
长沙理工大学,物理类(选考一门即可),528.0
长沙理工大学,物理类类,537.9999999999998
长沙理工大学(中外合作专业),物理类类,529.0
长沙理工大学城南学院,物理类,418.0
长沙理工大学城南学院,物理类(必须选考),441.0
长沙理工大学城南学院,物理类类,425.0
防灾科技学院,不限,514.6666666666642
防灾科技学院,不限选考科目,475.0
防灾科技学院,历史类类,505.0
防灾科技学院,地理,481.0
防灾科技学院,物理类,506.66666666666424
防灾科技学院,物理类(必须选考),475.0
防灾科技学院,物理类/地理(选考一门即可),493.0
防灾科技学院,物理类类,469.0
陆军工程大学,物理类,521.3333333333321
陆军工程大学,物理类(必须选考),503.0
陆军工程大学,物理类类,508.0
陕西师范大学,不限,612.0
陕西师范大学,不限选考科目,590.0
陕西师范大学,历史类,620.0
陕西师范大学,历史类类,510.0
陕西师范大学,政治/历史类(选考一门即可),595.0
陕西师范大学,物理类,611.6666666666661
陕西师范大学,物理类(必须选考),602.0
陕西师范大学,物理类/生物(选考一门即可),593.0
陕西师范大学,物理类类,612.0
陕西理工大学,不限,527.0
陕西理工大学,不限选考科目,478.0
陕西理工大学,历史类类,509.0
陕西理工大学,物理类,537.6666666666642
陕西理工大学,物理类(必须选考),499.0
陕西理工大学,物理类类,475.0
陕西科技大学,物理类,538.0
陕西科技大学,物理类(必须选考),521.0
陕西科技大学,物理类类,483.9999999999982
集美大学,不限,528.3333333333321
集美大学,不限选考科目,524.0
集美大学,历史类类,540.0
集美大学,物理类,501.0
集美大学,物理类类,515.0
集美大学诚毅学院,不限,489.33333333333576
集美大学诚毅学院,不限选考科目,455.0
集美大学诚毅学院,历史类类,493.0
集美大学诚毅学院,物理类类,457.0
青岛农业大学,不限,502.0
青岛农业大学,不限选考科目,478.0
青岛农业大学,历史类类,517.0
青岛农业大学,物理类,520.0
青岛农业大学,物理类/生物(选考一门即可),476.0
青岛农业大学,物理类类,472.0
青岛农业大学海都学院,不限,482.66666666666424
青岛农业大学海都学院,不限选考科目,449.0
青岛农业大学海都学院,历史类类,482.0
青岛农业大学海都学院,物理类类,433.0
青岛大学,化学+生物(均须选考),591.0
青岛大学,历史类类,552.0
青岛大学,物理类,569.8333333333339
青岛大学,物理类(必须选考),555.0
青岛大学,物理类+生物(均须选考),569.0
青岛大学,物理类类,577.0
青岛大学,物理类＋生物,572.0
青岛理工大学,化学,524.0
青岛理工大学,物理类,530.3333333333321
青岛理工大学,物理类(必须选考),510.0
青岛理工大学,物理类/生物(选考一门即可),520.0
青岛理工大学,物理类类,511.0
青岛科技大学,不限,542.6666666666679
青岛科技大学,不限选考科目,517.0
青岛科技大学,物理类,536.0
青岛科技大学,物理类(必须选考),504.0
青岛科技大学,物理类类,503.0
青海大学,化学+生物(均须选考),553.0
青海大学,物理类,583.5
青海大学,物理类(必须选考),547.0
青海大学,物理类/政治/地理(选考一门即可),552.0
青海大学,物理类类,531.9999999999995
青海大学,物理类／思想政治,586.3333333333321
首都体育学院,不限,516.3333333333358
首都医科大学,不限,576.1666666666679
首都医科大学,不限选考科目,549.0
首都医科大学,物理类,590.7142857142844
首都医科大学,物理类(均须选考),600.0
首都医科大学,物理类(必须选考),546.0
首都医科大学,物理类(选考一门即可),564.0
首都医科大学,物理类/生物(选考一门即可),563.0
首都医科大学,物理类类,436.0
首都师范大学,不限,571.6666666666666
首都师范大学,不限选考科目,578.0
首都师范大学,历史类,592.6666666666665
首都师范大学,历史类(必须选考),595.0
首都师范大学,历史类类,495.0
首都师范大学,地理,590.666666666667
首都师范大学,地理(必须选考),585.0
首都师范大学,政治(必须选考),579.0
首都师范大学,物理类,589.0000000000018
首都师范大学,物理类(必须选考),578.5
首都师范大学,物理类(选考一门即可),572.0
首都师范大学,物理类/地理(选考一门即可),586.0
首都师范大学,物理类/生物(选考一门即可),573.0
首都师范大学,物理类类,574.0
首都师范大学科德学院,不限,472.33333333333576
首都师范大学科德学院,不限选考科目,436.0
首都师范大学科德学院,历史类类,480.0
首都师范大学科德学院,物理类类,423.0
首都经济贸易大学,不限,568.9852941176468
首都经济贸易大学,不限选考科目,558.5
首都经济贸易大学,历史类类,436.0
首都经济贸易大学,物理类,570.310344827587
首都经济贸易大学,物理类(必须选考),564.0
首都经济贸易大学,物理类(选考一门即可),581.0
首都经济贸易大学,物理类/生物(选考一门即可),559.0
首都经济贸易大学,物理类类,519.0
鲁东大学,不限,485.33333333333326
鲁东大学,历史类/地理(选考一门即可),521.0
鲁东大学,历史类类,530.0
鲁东大学,物理类类,469.0
黑龙江外国语学院,不限,472.33333333333576
黑龙江外国语学院,不限选考科目,465.0
黑龙江外国语学院,历史类类,480.0
黑龙江大学,不限,521.0
黑龙江大学,不限选考科目,526.0
黑龙江大学,历史类,506.0
黑龙江大学,历史类类,526.0
黑龙江大学,政治/历史类/地理(选考一门即可),498.0
黑龙江大学,物理类,534.5
黑龙江大学,物理类(必须选考),510.0
黑龙江大学,物理类/生物(选考一门即可),517.0
黑龙江大学,物理类类,501.0
黑龙江科技大学,不限,504.66666666666424
黑龙江科技大学,物理类,498.66666666666424
黑龙江科技大学,物理类(必须选考),471.0
黑龙江科技大学,物理类类,466.0
齐鲁医药学院,不限选考科目,483.0
齐鲁医药学院,物理类,516.0
齐鲁医药学院,物理类+生物(均须选考),483.0
齐鲁医药学院,物理类/生物(选考一门即可),469.0
齐鲁医药学院,物理类类,451.0
齐鲁医药学院,物理类＋生物,526.0
齐鲁工业大学,物理类,537.0
齐鲁工业大学,物理类/生物(选考一门即可),490.0
齐鲁工业大学,物理类类,465.0
齐齐哈尔医学院,不限,497.6666666666679
齐齐哈尔医学院,不限选考科目,458.0
齐齐哈尔医学院,化学,455.9999999999982
齐齐哈尔医学院,化学(必须选考),500.0
齐齐哈尔医学院,化学+生物(均须选考),500.0
齐齐哈尔医学院,化学/生物(选考一门即可),506.0
齐齐哈尔医学院,物理类,547.0
齐齐哈尔医学院,物理类+生物(均须选考),510.0
齐齐哈尔医学院,物理类类,476.0
齐齐哈尔医学院,物理类＋生物,541.3333333333321
齐齐哈尔大学,不限,497.33333333333576
齐齐哈尔大学,不限选考科目,474.0
齐齐哈尔大学,化学,491.6666666666679
齐齐哈尔大学,化学(必须选考),468.0
齐齐哈尔大学,历史类类,499.0
齐齐哈尔大学,物理类,529.5
齐齐哈尔大学,物理类(必须选考),471.0
齐齐哈尔大学,物理类类,465.0
